@relation _Users_manavpatel_term_project_4500_._filtered_sentoken-weka.filters.unsupervised.instance.Resample-S1-Z85.0

@attribute text string
@attribute @@class@@ {neg,pos}

@data
'i\'m don\'t mean i certainly don\'t mean sure there plenty out there hard spice spice so pointless laughable as about complete ludicrous off as predictable as offensive inexplicably really no few yet everyone\'s late partially frank young new rough alcoholic julian lucky bad robert de on predictably rapid other big jealous acting like suddenly on on emotional i won\'t away honestly just you\'ll out fun dramatic better brief comic as wacky first video over like lead instead dramatic there\'s good primarily wide-eyed on actually isn\'t even so much so hackneyed down it\'s probably impossible off even couldn\'t they\'re all important i\'d i\'m big-time executive i\'ll sure whole it\'s painful just there\'s so much wrong such fragile as multiple through all negative she\'s likely then again i through ',neg
'ago i ever on i didn\'t i\'d soon just as worthy as now john isn\'t very good either long mr over then as oddly ineffective down repetitive about not confusing next oddly trashy giant las vegas only george out on top nicely like he\'s real ',neg
'\n\ncinematic surprisingly low \nhe\'s busy small various on ill-fated direct \nit\'s long as well as dizzying mr tarantino\'s new brown anticipated third as single important new american \naren\'t well brown \nshe\'s old aren\'t worth damn as north she\'s just terrific michael michael samuel l out robert \nout horny robert de out best dead he\'s soon out brown \nmeanwhile \nonly through clever able upper on \nbrown mr tarantino\'s first on novel there\'s no distinctive all over \nhe\'s closely narrative lead now black \nback even \nthrough away on \nbrown decidedly \nrobert as fun as deliciously unfold brown quiet it\'s perhaps \n\nsure prior de tim even deep unspoken tim mr tarantino\'s manic unexpected clever often \nall present brown new here different poignant emotional out several great \neffective mr as simply slick as he\'s real \nnew mr tarantino\'s probably best single sensitive unspoken touching \nmr best such along \nmuch about lead mr john \nas out solid film\'s here \ni though she\'s over often also such recent theatrical as tim \nlarry original first up mr \nit\'s true here as * * alone current \nbrown tremendous mr as rapidly never better \nfilm\'s narrative doesn\'t really it\'s such sumptuous vivid entertaining there \nimpressive it\'ll interesting next \n',pos
'susan granger\'s john out sci-fi that\'s so bad ever larry directly last year\'s black violent so small there on remote that\'s back they\'re free red soon as ancient martian over off as so many dead idiotic confusing easily supporting along on perhaps indeed there on other red ',neg
'there as hapless straight hysterical naked immediate whatever he\'s however fair third last isn\'t quite as excruciatingly as dead loving hard mighty good still comedic able as ever way through even horrible really off instead on very soon  together fugitive always as ryan married kelly however up michael actually guilty then richard unnecessarily off tommy lee already there\'s also general like  off lord on musical as front nice however never top  hysterical empty giant there\'s really other like so you\'re not sure you\'re there cheap frenzied here so it\'s possible sure well particularly genre like naked on great so as instead fast on david it\'s strong ',neg
' universal about back unexpected mad popular always on ultimate so on smoothly straightforward classic western like lone evil usually critical like out solid like  personal favorite fairly well on small now again traditional lone young  well she\'s not isn\'t helen stunning jean isn\'t stunning even interesting mediocre unimaginative not bad all way through simple now somehow enough entire few live somehow able raw so bad as young mysterious no on back early on way mythical there on psycho way typical only that\'s close amusing * almost * laughable there just isn\'t enough there funny kevin he\'s lone out very little enough human even completely much earth\'s still above blatant  * not * last * not * it\'s few old so on so on i\'m quite fond previous very jean past still speechless over there\'s * * haven\'t before better on only few over * * over expensive good digital new easily comic national small * * on otherwise you\'ll ',neg
'unfortunately doesn\'t much formulaic tough there\'s loser many good good bad really other there middle baldwin tough fbi due on top drunk i aren\'t then femme right there plenty decent right middle completely away over half near once back whatever neat miserably aside michael as pretty good baldwin though occasionally fine as tough also sean even better as loser tough tough new all over perhaps because michael even masterful not able tough good too much else i also top twice early on i almost never once i i back i long i tough isn\'t laughable terrible just isn\'t unique classic didn\'t sure really better ',neg
'i\'m not sure i because i\'m not sure just on however i important i i i didn\'t like i i i\'d old new old out that\'s anyway little occasionally about modern unfortunately little no ever up on they\'re simply out then left on actually i even confused i kind supernatural on confused philosophical either barely funny much horrible funny as away it\'s rather frightening susan michelle live small late ideal idle wealthy eccentric on soon dangerous even ugly anyway all female fairly uninteresting several cardboard especially never inside never sympathetic because pretty bland as well even interesting due importantly acting still then little vague then there\'s special not i almost positive i either out because big stephen spielberg stunt it\'s george great before twilight apparently doesn\'t off loose fake out all i you\'re like up on extremely good stiff as he\'s not sure next no all over just it\'s not sure about maybe it\'ll so about religious right i all over ultimately other  like enough here maybe able through ',neg
'best around \nsuccessfully \nmodern \nparallel present down though rather rather \neven such as about about way way too many \nhowever fine though brilliant private somewhat \ni mean steve ben \nnot happy \naround bizarre strange frustrating former \nthey\'re even so up \nnew \nstark ryan lost \nkey on apparently \nnow stark key before \nreluctantly out \nhowever vulnerable \n\nfirst own as sympathetic \nobviously wacky odd \nsuch appropriate \nhowever there\'s much here just out \nthat\'s not there\'s not \nbest ben wonderfully comic absolute \nhowever over-the-top never quite aren\'t funny enough on own \nonce however really \nquick as fascinating as many own \nas unfold lead interesting never \nwell romantic as well \nlow-key all right \nhowever always distant \nshe\'s plenty never \nperhaps intentional \non whole frustrating \nhe\'s not out vibrant \nthere\'s many shockingly well \nsometimes hard seriously behind \nawkward strong great \n',pos
'\nmike mike \nextraordinary prominent cinematic \ninspired silent same exquisite oddly touching beautiful haunting long afterwards \noriginal full-length english last video gorgeous widescreen \nnow only english available on video only \nfull still english due often stilted \napparently english on incompetent also \nenglish \n\n\nso on over brief basic certainly won\'t \njonathan young gloomy creepy \ninstantly \nup off on long so \nas as \nfamiliar i reluctantly cinematic \nas much as through white as half \nfilm\'s surreal utterly \nthere much i\'ll few key \ntogether remarkable as \npast famous largely dimensional \nfar compelling \nstartling not simply as pure evil as \nlonely \nutter hideous \ncreepy deeply \nalmost as man\'s last \nthen there\'s unforgettable largely \nso beautiful it\'s quite impossible \nlongtime kind exotic \ni first ago i so i down \ni still \nit\'s as powerful as \nstill available on highly respected \ntimely \nford overblown back amazing now \nquite simply ever \nclassic genre \ndon\'t \n',pos
